,word,count
0,#quarentena,3222
1,nao,1694
2,eu,1063
3,casa,950
4,dia,918
5,quarentena,889
6,#fiqueemcasa,852
7,uma,774
8,#coronavirus,689
9,por,679
10,mais,585
11,ja,572
12,tem,499
13,como,465
14,so,464
15,ta,464
16,meu,457
17,mas,439
18,#homeoffice,430
19,??,426
20,fazer,411
21,minha,397
22,ficar,397
23,gente,384
24,nos,365
25,vai,361
26,quem,357
27,vamos,353
28,#covid19,331
29,to,313
30,voce,312
31,sem,299
32,virus,280
33,agora,280
34,todos,276
35,aqui,274
36,estao,272
37,pessoas,268
38,vou,262
39,corona,258
40,hoje,256
41,isso,246
42,#coronavirusnobrasil,236
43,coronavirus,233
44,ter,227
45,sobre,227
46,sua,226
47,dias,223
48,ser,221
49,estou,208
50,muito,204
51,sao,202
52,-,202
53,tudo,200
54,brasil,199
55,estamos,197
56,mundo,195
57,pode,195
58,sair,193
59,todo,192
60,home,191
61,#coronavirusbrasil,187
62,bem,184
63,ate,183
64,saude,182
65,momento,178
66,pelo,173
67,quando,170
68,tempo,168
69,ainda,168
70,ai,167
71,bom,166
72,seu,161
73,fazendo,157
74,trabalho,154
75,#covid2019,153
76,nessa,151
77,mesmo,151
78,trabalhar,148
79,#stayhome,147
80,office,145
81,foi,145
82,nada,141
83,tempos,140
84,melhor,140
85,ver,135
86,pela,135
87,alcool,131
88,#bbb20,129
89,????,129
90,nossa,126
91,isolamento,125
92,vida,125
93,tambem,125
94,ir,122
95,nem,122
96,pandemia,121
97,vc,120
98,ele,119
99,deus,118
100,passar,117
101,depois,113
102,meus,112
103,voces,111
104,nunca,110
105,boa,110
106,19,109
107,durante,109
108,hora,107
109,fique,106
110,faz,105
111,#stayathome,105
112,gel,101
113,#ficaemcasa,101
114,assim,100
115,primeiro,99
116,alguem,98
117,contra,98
118,sera,98
119,galera,97
120,seus,96
121,#covid,96
122,queria,95
123,parte,95
124,fica,93
125,povo,92
126,#ficaemcasacaralho,90
127,#quarentena..,90
128,maos,90
129,coisa,89
130,nesse,88
131,vao,87
132,estar,87
133,covid-19,86
134,la,86
135,dicas,86
136,fiquem,84
137,novo,83
138,sempre,82
139,video,82
140,ela,81
141,pessoal,80
142,e..,79
143,ferias,79
144,tenho,79
145,cada,77
146,causa,77
147,nosso,77
148,seja,77
149,semana,76
150,acho,76
151,de..,76
152,mae,75
153,quero,75
154,casos,75
155,pais,74
156,todas,74
157,filmes,73
158,precisa,73
159,trabalhando,73
160,a..,72
161,cara,72
162,vem,72
163,ha,72
164,presidente,71
165,pessoa,71
166,anos,71
167,familia,71
168,sei,70
169,??????,70
170,favor,69
171,era,69
172,ninguem,69
173,eles,69
174,vez,68
175,dentro,67
176,dar,67
177,sabe,67
178,social,67
179,ajudar,66
180,menos,66
181,assistir,64
182,falando,64
183,toda,64
184,temos,64
185,empresas,64
186,quarto,63
187,amor,63
188,vendo,63
189,fiz,63
190,#isolamentosocial,63
191,vcs,63
192,sendo,62
193,diario,60
194,mim,60
195,saber,60
196,coisas,59
197,medidas,59
198,amigos,59
199,15,59
200,s..,59
201,series,59
202,tinha,59
203,nossos,59
204,primeira,58
205,bbb,58
206,#coronavirus..,58
207,serio,58
208,conta,58
209,enquanto,58
210,brasileiro,58
211,amanha,57
212,evitar,57
213,tanto,57
214,faca,56
215,caso,56
216,dessa,55
217,aproveitar,55
218,suas,54
219,pegar,54
220,lavar,54
221,casa!,54
222,pouco,54
223,antes,54
224,@netflixbrasil,54
225,#corona,54
226,dica,53
227,poder,53
228,bolsonaro,53
229,importante,53
230,alguns,53
231,rua,53
232,ano,53
233,rio,53
234,governo,53
235,quer,52
236,risco,52
237,sou,52
238,forma,52
239,online,52
240,neste,52
241,hj,51
242,aula,51
243,partir,51
244,fez,51
245,#combateaocoronavirus,51
246,assistindo,50
247,situacao,50
248,filme,50
249,colocar,49
250,c..,49
251,uns,49
252,quarentena:,49
253,for,49
254,parece,48
255,paulo,48
256,serie,48
257,bora,48
258,d..,48
259,seria,48
260,instagram,48
261,p..,48
262,esses,48
263,meio,48
264,muita,48
265,fui,48
266,tv,47
267,musica,47
268,minhas,47
269,pensando,47
270,#fiqueemcasa..,47
271,puder,46
272,desde,46
273,#isolamento,46
274,grande,45
275,precisamos,45
276,aulas,45
277,logo,45
278,sim,45
279,estava,45
280,manter,45
281,dificil,45
282,internet,44
283,estado,44
284,tomar,44
285,periodo,44
286,onde,44
287,empresa,44
288,algumas,44
289,medo,44
290,qual,44
291,falta,43
292,outros,43
293,vi,43
294,passando,43
295,cidade,43
296,jogar,42
297,deixar,42
298,alguma,42
299,2020,42
300,apenas,42
301,fora,42
302,crise,42
303,podemos,42
304,falar,42
305,academia,42
306,campanha,41
307,#forabolsonaro,41
308,o..,41
309,@jairbolsonaro,41
310,fim,41
311,algo,41
312,mao,41
313,posso,41
314,live,41
315,brazil,41
316,the,41
317,lado,41
318,pai,40
319,profissionais,40
320,agua,40
321,pensar,40
322,livros,40
323,volta,40
324,03,39
325,italia,39
326,ne,39
327,preciso,39
328,20,39
329,quase,39
330,usar,39
331,#covid2019pt,39
332,globo,39
333,normal,39
334,podem,39
335,desse,39
336,voltar,38
337,nova,38
338,n..,38
339,super,38
340,praia,38
341,ontem,38
342,#covid19..,38
343,que..,37
344,foram,37
345,via,37
346,tava,37
347,vontade,37
348,noite,37
349,criancas,37
350,parar,37
351,tedio,37
352,outro,36
353,#codvid19,36
354,liberar,36
355,olha,36
356,ler,36
357,chegou,36
358,entrar,36
359,deu,36
360,papel,36
361,#bbb2020,36
362,#redebbb,36
363,segundo,36
364,cafe,36
365,proteger,36
366,muitas,35
367,real,35
368,unica,35
369,muitos,35
370,proximo,35
371,quanto,35
372,fico,35
373,vejo,35
374,cuidar,35
375,grupo,35
376,juntos,35
377,daqui,35
378,ruas,35
379,pior,35
380,@redeglobo,34
381,sai,34
382,mercado,34
383,qualquer,34
384,comprar,34
385,comecar,33
386,espero,33
387,possivel,33
388,guerra,33
389,jeito,33
390,umas,33
391,seguranca,33
392,algum,33
393,lugar,33
394,sintomas,33
395,horas,33
396,prevencao,33
397,pois,33
398,chegar,32
399,fala,32
400,kkkk,32
401,comer,32
402,#tbt,32
403,duas,32
404,acabar,32
405,alem,32
406,t..,32
407,foto,32
408,comecou,32
409,marco,32
410,???,32
411,luta,31
412,????????,31
413,nossas,31
414,numero,31
415,poderia,31
416,#forapyong,31
417,maior,31
418,e,31
419,dizer,31
420,entender,31
421,fosse,31
422,#quarentena:,31
423,#covid19brasil,31
424,dando,31
425,problema,31
426,deve,31
427,nao..,31
428,diz,31
429,janeiro,31
430,18,31
431,tarde,31
432,morrer,31
433,veja,30
434,jogando,30
435,??#quarentena,30
436,tal,30
437,vezes,30
438,ouvindo,30
439,netflix,30
440,geral,30
441,essas,30
442,apos,30
443,historia,30
444,atividades,30
445,do..,30
446,responsabilidade,30
447,epoca,30
448,publica,29
449,dormir,29
450,#pandemia,29
451,redes,29
452,#coronaviruschallenge,29
453,casa?,29
454,numa,29
455,tanta,29
456,morte,29
457,programa,29
458,podia,29
459,populacao,29
460,facil,29
461,mal,28
462,livro,28
463,merda,28
464,jogo,28
