,word,count
0,#fiqueemcasa,60340
1,#quarentena,48636
2,nao,27574
3,eu,13557
4,uma,12863
5,casa,12392
6,mais,12354
7,#coronavirus,11992
8,por,10989
9,quarentena,9974
10,dia,9766
11,#covid19,9640
12,tem,7861
13,mas,7271
14,voce,7100
15,so,7083
16,ja,6919
17,como,6839
18,#ficaemcasa,6736
19,#stayhome,6625
20,vai,6074
21,-,6070
22,meu,5862
23,ta,5720
24,nos,5713
25,quem,5540
26,minha,5279
27,hoje,4982
28,gente,4956
29,sua,4883
30,sao,4668
31,isso,4660
32,todos,4649
33,fazer,4638
34,sem,4279
35,ser,4254
36,pessoas,4209
37,vamos,4193
38,ficar,4154
39,aqui,4031
40,agora,3837
41,estao,3786
42,#homeoffice,3752
43,tudo,3709
44,muito,3684
45,coronavirus,3680
46,brasil,3634
47,seu,3623
48,bom,3604
49,live,3601
50,pelo,3553
51,to,3509
52,saude,3407
53,#covid,3396
54,ate,3385
55,isolamento,3360
56,quando,3358
57,pode,3347
58,sobre,3238
59,19,3196
60,mundo,3074
61,ainda,3050
62,bem,3021
63,nessa,3004
64,dias,2980
65,#isolamentosocial,2946
66,vida,2898
67,foi,2880
68,ele,2810
69,todo,2752
70,#quarentenabrasil,2730
71,mesmo,2722
72,sair,2642
73,ai,2631
74,vou,2628
75,nosso,2603
76,ter,2571
77,estamos,2571
78,#comigo,2528
79,momento,2500
80,#coronavirusbrasil,2476
81,estou,2395
82,tempo,2368
83,melhor,2364
84,pela,2341
85,virus,2327
86,via,2313
87,covid-19,2307
88,social,2275
89,nem,2239
90,#coronavirusnobrasil,2173
91,#forabolsonaro,2171
92,nossa,2162
93,fazendo,2128
94,pandemia,2118
95,deus,2110
96,boa,2096
97,rio,2060
98,ver,2060
99,fique,2049
100,voces,1993
101,tambem,1984
102,depois,1923
103,brazil,1909
104,casos,1898
105,nada,1897
106,vc,1868
107,seus,1864
108,#emcasa,1841
109,faz,1835
110,assim,1811
111,semana,1808
112,presidente,1805
113,#livejem,1786
114,contra,1784
115,bolsonaro,1773
116,sera,1767
117,novo,1748
118,video,1710
119,povo,1667
120,la,1645
121,nunca,1640
122,#pandemia,1635
123,durante,1625
124,passar,1606
125,@youtube,1604
126,familia,1597
127,trabalho,1588
128,@jairbolsonaro,1582
129,sempre,1579
130,cada,1558
131,#covid2019,1544
132,#fiquememcasa,1534
133,parte,1521
134,meus,1520
135,quer,1516
136,nesse,1486
137,hora,1479
138,#bbb20,1465
139,amor,1417
140,paulo,1413
141,#stayathome,1392
142,casa!,1387
143,ir,1385
144,#isolamento,1380
145,#brasil,1369
146,coisa,1362
147,anos,1359
148,tempos,1348
149,alguem,1339
150,pais,1332
151,ela,1320
152,fica,1310
153,seja,1308
154,home,1308
155,sei,1273
156,tenho,1272
157,quero,1271
158,ha,1259
159,rua,1255
160,#bolsonarogenocida,1254
161,governo,1243
162,amigos,1239
163,dar,1236
164,dessa,1231
165,estar,1225
166,corona,1225
167,mortes,1224
168,trabalhar,1224
169,vem,1216
170,toda,1205
171,temos,1195
172,faca,1189
173,enquanto,1179
174,pascoa,1171
175,eles,1163
176,feliz,1159
177,precisa,1138
178,vez,1127
179,vao,1113
180,grande,1110
181,sendo,1101
182,dicas,1096
183,sim,1091
184,domingo,1090
185,noite,1087
186,pouco,1086
187,suas,1078
188,menos,1075
